Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;01/07/2020;3,559;3,253;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;01/07/2020;2,329;2,1193;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;DIESEL S10;01/07/2020;2,859;;R$ / litro;BRANCA
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;GASOLINA;02/07/2020;4,29;3,7676;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;ETANOL;02/07/2020;3,29;2,6651;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;DIESEL S10;02/07/2020;2,99;3,0649;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;GNV;02/07/2020;3,02;2,0316;R$ / m³;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;GASOLINA;01/07/2020;4,18;3,57;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;ETANOL;01/07/2020;3,39;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;DIESEL;01/07/2020;2,99;2,67;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;DIESEL S10;01/07/2020;3,19;2,77;R$ / litro;BRANCA
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;GASOLINA;01/07/2020;4,299;3,7417;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;ETANOL;01/07/2020;3,299;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;DIESEL;01/07/2020;3,299;2,7908;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;DIESEL S10;01/07/2020;3,299;2,9632;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;ARAPIRACA;J. R. SOARES & SOUZA LTDA ME; 35.370.972/0001-52;RUA CORONEL VICENTE RAMOS;838;;OLHO D¿AGUA DOS CAZUZINHOS;57312-350;GASOLINA;01/07/2020;4,19;3,6266;R$ / litro;BRANCA
NE;AL;ARAPIRACA;J. R. SOARES & SOUZA LTDA ME; 35.370.972/0001-52;RUA CORONEL VICENTE RAMOS;838;;OLHO D¿AGUA DOS CAZUZINHOS;57312-350;ETANOL;01/07/2020;3,39;2,79;R$ / litro;BRANCA
NE;AL;ARAPIRACA;J. R. SOARES & SOUZA LTDA ME; 35.370.972/0001-52;RUA CORONEL VICENTE RAMOS;838;;OLHO D¿AGUA DOS CAZUZINHOS;57312-350;DIESEL;01/07/2020;2,99;2,77;R$ / litro;BRANCA
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;GASOLINA;01/07/2020;4,199;3,715;R$ / litro;RAIZEN
